merges,n_embed,n_heads,n_layers,lr,dropout,weight_decay,scheduler,vocab_size,model_size,val_ppl,train_ppl,val_loss,train_loss,epochs,ckpt_best,ckpt_last,full_config_file,run
50,128,8,4,0.0003,0.2,0.0001,cosine_warmup,310,883328,10.34924030303955,12.193652153015137,2.3369131441469544,2.5009155353594235,30,../checkpoints/GPT/hparams_search/best_hps_250828_141429_19b289ef.pt,../checkpoints/GPT/hparams_search/last_hps_250828_141429_19b289ef.pt,../checkpoints/GPT/hparams_search/hps_250828_141429_19b289ef_hparams.json,hps_250828_141429_19b289ef
50,128,4,4,0.0003,0.2,0.0001,cosine_warmup,310,883328,10.360011100769043,12.338861465454102,2.337953233558321,2.512753719660385,30,../checkpoints/GPT/hparams_search/best_hps_250828_141119_8893ce98.pt,../checkpoints/GPT/hparams_search/last_hps_250828_141119_8893ce98.pt,../checkpoints/GPT/hparams_search/hps_250828_141119_8893ce98_hparams.json,hps_250828_141119_8893ce98
50,128,2,4,0.0003,0.2,0.0001,cosine_warmup,310,883328,10.389270782470703,12.499726295471191,2.3407736755782107,2.525706873861866,30,../checkpoints/GPT/hparams_search/best_hps_250828_140808_52528149.pt,../checkpoints/GPT/hparams_search/last_hps_250828_140808_52528149.pt,../checkpoints/GPT/hparams_search/hps_250828_140808_52528149_hparams.json,hps_250828_140808_52528149
50,128,2,2,0.0003,0.2,0.0001,cosine_warmup,310,489600,11.000239372253418,13.669540405273438,2.3979169672185723,2.6151699572294644,30,../checkpoints/GPT/hparams_search/best_hps_250828_140724_de93dc48.pt,../checkpoints/GPT/hparams_search/last_hps_250828_140724_de93dc48.pt,../checkpoints/GPT/hparams_search/hps_250828_140724_de93dc48_hparams.json,hps_250828_140724_de93dc48
50,128,4,2,0.0003,0.2,0.0001,cosine_warmup,310,489600,11.042113304138184,13.52120304107666,2.4017164121171843,2.604258967085268,30,../checkpoints/GPT/hparams_search/best_hps_250828_141041_27033df3.pt,../checkpoints/GPT/hparams_search/last_hps_250828_141041_27033df3.pt,../checkpoints/GPT/hparams_search/hps_250828_141041_27033df3_hparams.json,hps_250828_141041_27033df3
50,128,8,2,0.0003,0.2,0.0001,cosine_warmup,310,489600,11.2105073928833,13.547229766845703,2.416851518932818,2.6061820470501904,30,../checkpoints/GPT/hparams_search/best_hps_250828_141351_6976576f.pt,../checkpoints/GPT/hparams_search/last_hps_250828_141351_6976576f.pt,../checkpoints/GPT/hparams_search/hps_250828_141351_6976576f_hparams.json,hps_250828_141351_6976576f
10,32,8,8,0.0003,0.2,0.0001,cosine_warmup,270,120224,11.428309440612793,12.562494277954102,2.436093641447541,2.530715635937297,30,../checkpoints/GPT/hparams_search/best_hps_250828_131448_17b269e0.pt,../checkpoints/GPT/hparams_search/last_hps_250828_131448_17b269e0.pt,../checkpoints/GPT/hparams_search/hps_250828_131448_17b269e0_hparams.json,hps_250828_131448_17b269e0
10,32,4,8,0.0003,0.2,0.0001,cosine_warmup,270,120224,11.446511268615723,12.660536766052246,2.4376850973039668,2.5384897139572606,30,../checkpoints/GPT/hparams_search/best_hps_250828_130958_1723b321.pt,../checkpoints/GPT/hparams_search/last_hps_250828_130958_1723b321.pt,../checkpoints/GPT/hparams_search/hps_250828_130958_1723b321_hparams.json,hps_250828_130958_1723b321
10,32,2,8,0.0003,0.2,0.0001,cosine_warmup,270,120224,11.870816230773926,13.077255249023438,2.4740829211753486,2.5708745259593098,30,../checkpoints/GPT/hparams_search/best_hps_250828_130530_3c3be40e.pt,../checkpoints/GPT/hparams_search/last_hps_250828_130530_3c3be40e.pt,../checkpoints/GPT/hparams_search/hps_250828_130530_3c3be40e_hparams.json,hps_250828_130530_3c3be40e
10,32,8,4,0.0003,0.2,0.0001,cosine_warmup,270,70816,12.038806915283203,13.296096801757812,2.488135223900712,2.587470518110046,30,../checkpoints/GPT/hparams_search/best_hps_250828_131313_997d535e.pt,../checkpoints/GPT/hparams_search/last_hps_250828_131313_997d535e.pt,../checkpoints/GPT/hparams_search/hps_250828_131313_997d535e_hparams.json,hps_250828_131313_997d535e
10,32,4,4,0.0003,0.2,0.0001,cosine_warmup,270,70816,12.375157356262207,13.593470573425293,2.5156909353781067,2.6095896727143337,30,../checkpoints/GPT/hparams_search/best_hps_250828_130834_d401cd4a.pt,../checkpoints/GPT/hparams_search/last_hps_250828_130834_d401cd4a.pt,../checkpoints/GPT/hparams_search/hps_250828_130834_d401cd4a_hparams.json,hps_250828_130834_d401cd4a
10,32,2,4,0.0003,0.2,0.0001,cosine_warmup,270,70816,12.552664756774902,13.740445137023926,2.529933028253133,2.620343780761758,30,../checkpoints/GPT/hparams_search/best_hps_250828_130417_43b92ed7.pt,../checkpoints/GPT/hparams_search/last_hps_250828_130417_43b92ed7.pt,../checkpoints/GPT/hparams_search/hps_250828_130417_43b92ed7_hparams.json,hps_250828_130417_43b92ed7
10,32,8,2,0.0003,0.2,0.0001,cosine_warmup,270,46112,12.8741455078125,13.986809730529785,2.5552211275036703,2.6381147140158636,30,../checkpoints/GPT/hparams_search/best_hps_250828_131212_69384b42.pt,../checkpoints/GPT/hparams_search/last_hps_250828_131212_69384b42.pt,../checkpoints/GPT/hparams_search/hps_250828_131212_69384b42_hparams.json,hps_250828_131212_69384b42
10,32,2,2,0.0003,0.2,0.0001,cosine_warmup,270,46112,13.37709903717041,14.262694358825684,2.5935442802890036,2.6576474577851403,30,../checkpoints/GPT/hparams_search/best_hps_250828_130323_849d672b.pt,../checkpoints/GPT/hparams_search/last_hps_250828_130323_849d672b.pt,../checkpoints/GPT/hparams_search/hps_250828_130323_849d672b_hparams.json,hps_250828_130323_849d672b
10,32,4,2,0.0003,0.2,0.0001,cosine_warmup,270,46112,13.427928924560547,14.229296684265137,2.597336650054727,2.6553029423428454,30,../checkpoints/GPT/hparams_search/best_hps_250828_130735_de602518.pt,../checkpoints/GPT/hparams_search/last_hps_250828_130735_de602518.pt,../checkpoints/GPT/hparams_search/hps_250828_130735_de602518_hparams.json,hps_250828_130735_de602518
10,16,8,8,0.0003,0.2,0.0001,cosine_warmup,270,35536,14.749262809753418,15.72845458984375,2.691192985381056,2.755471398800273,30,../checkpoints/GPT/hparams_search/best_hps_250828_130052_82c96f3b.pt,../checkpoints/GPT/hparams_search/last_hps_250828_130052_82c96f3b.pt,../checkpoints/GPT/hparams_search/hps_250828_130052_82c96f3b_hparams.json,hps_250828_130052_82c96f3b
10,16,4,8,0.0003,0.2,0.0001,cosine_warmup,270,35536,14.899853706359863,15.852071762084961,2.7013514806760237,2.7633001111110396,30,../checkpoints/GPT/hparams_search/best_hps_250828_125523_f3c8a289.pt,../checkpoints/GPT/hparams_search/last_hps_250828_125523_f3c8a289.pt,../checkpoints/GPT/hparams_search/hps_250828_125523_f3c8a289_hparams.json,hps_250828_125523_f3c8a289
